Episode,Total Reward,Requests Served,Average Waiting
425,-8419677,52,63.62
426,-9512745,44,77.41
427,-10433449,50,75.55
428,-6677368,53,58.96
429,-9265575,48,62.34
430,-11740662,58,82.0
431,-7039878,55,58.49
432,-13098033,29,91.29
433,-11898853,35,82.67
434,-6528653,50,60.73
435,-13398219,42,93.53
436,-11445389,49,83.08
437,-10873436,62,72.87
438,-8180480,45,63.96
439,-8519042,52,71.86
440,-6578148,64,59.55
441,-9782218,42,71.75
442,-7452496,71,70.59
443,-8985700,57,66.43
444,-13364106,34,85.64
445,-11195984,28,82.57
446,-6162095,70,64.99
447,-10810331,53,78.68
448,-12972400,24,85.5
449,-12357658,35,85.76
450,-12276048,54,79.32
451,-8685053,63,73.68
452,-11632902,46,78.48
453,-8678794,58,70.25
454,-8219069,61,66.74
455,-12494063,21,76.92
456,-10160303,42,74.73
457,-8884789,48,65.05
458,-6148162,82,64.93
459,-6714286,83,64.91
460,-7485511,71,61.51
461,-6964332,72,58.57
462,-6364419,66,60.8
463,-9569450,71,76.57
464,-7960268,33,61.91
465,-10453694,50,77.02
466,-8200552,71,70.24
467,-8692542,56,65.88
468,-7138132,55,62.75
469,-12883712,65,79.76
470,-12137105,50,76.67
471,-15246420,50,87.81
472,-13642437,54,85.62
473,-14460675,26,93.55
474,-10928860,49,77.69
475,-12849310,53,91.14
476,-12940935,40,81.95
477,-11069275,27,74.32
478,-11241923,42,79.27
479,-9906410,56,70.74
480,-8990936,47,68.69
481,-14780177,52,93.43
482,-11975308,57,82.23
483,-6033697,60,60.28
484,-6473367,73,59.52
485,-6249106,79,56.11
486,-8838017,71,67.64
487,-10131117,48,67.75
488,-7525409,61,62.3
489,-6912522,49,56.82
490,-8969411,72,76.49
491,-7883302,65,73.16
492,-5511313,55,57.41
493,-11241712,45,79.18
494,-13207755,55,88.1
495,-6762735,59,58.86
496,-8897177,66,79.02
497,-6682747,54,51.97
498,-10425141,55,74.51
499,-12461839,26,89.98
500,-12599468,27,80.25
501,-11052849,43,74.98
502,-7692317,69,70.24
503,-8919224,42,62.6
504,-8340517,54,71.9
505,-10590083,36,78.98
506,-8395945,67,74.71
507,-8248402,58,71.1
508,-9763762,48,79.14
509,-11794886,46,82.9
510,-8129367,55,64.7
511,-14783981,33,88.87
512,-14082869,55,91.74
513,-11655896,49,80.22
514,-9321319,49,67.69
515,-15101303,45,94.28
516,-6455840,69,68.02
517,-11981317,31,78.52
518,-11687065,32,77.82
519,-9144957,56,72.24
520,-9361502,75,81.74
521,-11383020,46,73.86
522,-13173867,33,81.37
523,-13821201,21,85.97
524,-8606299,55,63.21
525,-13003598,57,82.34
526,-10083911,31,70.51
527,-8612553,60,68.21
528,-15534126,17,94.29
529,-13968515,44,98.32
530,-13767602,17,91.94
531,-10697016,53,75.06
532,-10303399,49,65.34
533,-10687985,49,70.74
534,-9997688,54,74.55
535,-9077636,67,68.52
536,-8805408,68,66.91
537,-10490077,54,74.11
538,-12506091,38,86.14
539,-5114480,60,53.6
540,-13841620,48,88.02
541,-13173189,7,83.8
542,-6749382,83,65.79
543,-10633096,55,75.83
544,-13359078,32,76.62
545,-13878317,23,90.95
546,-6868233,66,63.04
547,-14554674,44,94.61
548,-15883100,53,94.48
549,-14985907,37,90.48
550,-15898527,36,88.68
551,-7993729,65,65.86
552,-10878560,41,77.32
553,-11103978,57,78.66
554,-11573196,56,77.11
555,-12972338,25,84.25
556,-15748716,45,99.69
557,-12854040,52,88.64
558,-11552710,58,79.74
559,-13856535,49,87.19
560,-14851730,64,92.76
561,-13208711,56,84.13
562,-13494559,50,94.6
563,-12729467,37,94.27
564,-9672934,49,73.48
565,-11746697,56,81.81
566,-14599412,41,88.64
567,-11116590,62,78.16
568,-14018369,13,86.05
569,-9844071,37,78.34
570,-7147428,54,60.66
571,-10615448,54,79.58
572,-10063086,40,75.12
573,-11392895,60,78.32
574,-11549043,49,75.21
575,-11975813,48,81.17
576,-10653507,42,74.22
577,-13052181,25,79.8
578,-14735277,35,96.92
579,-10715155,36,83.82
580,-13103965,29,81.94
581,-11072158,60,81.27
582,-11555297,55,79.0
583,-12649900,39,80.88
584,-11577114,64,84.04
585,-5323862,69,57.32
586,-16697926,34,103.53
587,-13550127,45,90.4
588,-14572281,38,90.64
589,-11665938,48,74.4
590,-13441712,62,82.96
591,-12230047,24,83.17
592,-9392236,44,74.4
593,-15448862,26,96.73
594,-9852658,57,79.65
595,-10875882,47,75.0
596,-11238776,57,83.3
597,-7867972,68,65.82
598,-11314207,37,73.08
599,-16087067,13,94.97
600,-11283546,64,81.9
601,-11943548,48,79.09
602,-14686736,36,93.35
603,-12170621,45,80.56
604,-12665793,55,84.6
605,-14862595,36,90.56
606,-11772728,49,77.66
607,-11957128,32,86.23
608,-12260959,66,87.54
609,-14324976,52,89.91
610,-12031513,49,81.46
611,-11739038,39,76.55
612,-10693394,35,78.69
613,-12714851,37,79.36
614,-16007071,32,96.26
615,-11444175,64,81.07
616,-14200477,57,95.18
617,-9708240,48,72.95
618,-11553042,33,78.49
619,-13187869,45,87.44
620,-4364311,83,51.06
621,-8157818,44,63.03
622,-13756922,42,83.91
623,-13918225,17,89.8
624,-8610454,69,73.74
625,-11806484,38,86.11
626,-7693625,67,60.16
627,-12484433,63,77.69
628,-11081921,64,81.53
629,-11273526,61,80.15
630,-11179052,31,71.56
631,-10832702,27,74.96
632,-10649238,51,74.83
633,-6617713,59,58.33
634,-9911877,70,76.44
635,-13251718,30,83.82
636,-8984040,63,68.42
637,-9467250,58,69.64
638,-12287103,39,82.55
639,-10095565,64,77.69
640,-5977766,63,55.43
641,-12931180,20,89.97
642,-12057554,48,81.57
643,-10610255,45,78.89
644,-14644781,33,96.4
645,-10314365,22,79.04
646,-12214848,53,84.86
647,-11293609,44,85.8
648,-15401632,45,97.27
649,-14997548,14,91.54
650,-12373443,56,80.2
651,-17167149,6,102.81
652,-17581175,10,104.48
653,-10173905,50,80.11
654,-13628893,48,89.67
655,-12608693,36,82.4
656,-10867283,60,82.11
657,-14361689,63,93.72
658,-9959939,42,73.35
659,-11077033,27,73.79
660,-9362322,57,70.89
661,-9429881,52,76.47
662,-12354535,17,84.46
