Episode,Total Reward,Requests Served,Average Waiting
547,-8789667.0,46,64.4
548,-12341300.0,38,79.09
549,-11106783.0,41,74.03
550,-11164903.0,44,74.9
551,-10247543.0,46,65.21
552,-10907915.0,40,73.81
553,-10534876.0,50,71.08
554,-12736486.0,50,89.11
555,-11357542.0,46,73.81
556,-11638451.0,44,75.44
557,-14089523.0,61,88.21
558,-11938844.0,52,78.62
559,-14633634.0,45,85.4
560,-12079224.0,47,81.36
561,-13904940.0,55,88.19
562,-10335039.0,51,67.95
563,-13223875.0,44,77.43
564,-13463276.0,48,89.09
565,-13987390.0,40,86.59
566,-8514208.0,36,57.04
567,-12855972.0,58,77.72
568,-11492556.0,52,77.96
569,-13286310.0,51,86.75
570,-11367161.0,53,75.98
571,-12440710.0,46,81.76
572,-12848380.0,48,81.85
573,-11901976.0,44,80.83
574,-12198124.0,41,78.23
575,-12735805.0,50,82.12
576,-12631052.0,54,79.97
577,-10698758.0,49,66.53
578,-12266315.0,50,73.15
579,-10070469.0,45,61.0
580,-11755011.0,46,78.3
581,-14423279.0,47,83.96
582,-11455426.0,54,71.96
583,-13410955.0,58,78.92
584,-11320779.0,60,71.34
585,-10593982.0,39,70.42
586,-12674736.0,51,80.32
587,-10018208.0,51,67.58
588,-13731951.0,53,85.56
589,-10832733.0,43,73.84
590,-9956359.0,45,65.49
591,-9774378.0,46,65.17
592,-11110731.0,48,72.8
593,-9853248.0,39,67.14
594,-11816325.0,47,73.31
595,-11886823.0,55,78.48
596,-10682604.0,47,67.55
597,-10810659.0,48,69.08
598,-13091173.0,43,77.04
599,-10719212.0,45,73.94
600,-13042408.0,48,85.69
601,-9861633.0,40,67.59
602,-13283015.0,50,83.38
603,-10484521.0,56,67.68
604,-11770851.0,54,70.79
605,-9806741.0,61,65.02
606,-11749843.0,54,78.86
607,-12301942.0,46,70.76
608,-12928470.0,47,83.02
609,-14816091.0,45,87.6
610,-12217417.0,45,81.61
611,-10788952.0,41,73.68
612,-12986206.0,43,83.97
613,-11929072.0,44,77.06
614,-11717484.0,50,77.05
615,-11664771.0,37,78.07
616,-8554100.0,43,61.52
617,-14572299.0,45,90.62
618,-10173856.0,35,65.84
619,-12742738.0,53,83.82
620,-11908870.0,61,79.08
621,-9687570.0,50,64.91
622,-10233147.0,42,67.94
623,-11281306.0,45,75.46
624,-12021837.0,52,75.59
625,-12031876.0,53,78.81
626,-13047798.0,45,82.83
627,-12617108.0,42,80.88
628,-10334056.0,38,71.75
629,-10893472.0,44,75.31
630,-11861042.0,52,76.08
631,-11569434.0,48,76.76
632,-11286736.0,55,70.94
633,-13352172.0,44,82.35
634,-9656403.0,45,63.32
635,-12095617.0,50,80.2
636,-12753500.0,55,83.38
637,-11962275.0,46,75.87
638,-12287629.0,49,78.57
639,-11956983.0,43,74.64
640,-12694667.0,44,76.96
641,-10820255.0,53,75.94
642,-12004505.0,38,76.64
643,-9990141.0,46,70.92
644,-10408177.0,48,71.79
645,-12046815.0,55,74.63
646,-8312035.0,47,60.21
647,-11000544.0,41,71.39
648,-8891009.0,59,62.92
649,-13643872.0,58,78.83
650,-10079367.0,49,69.88
651,-11315950.0,44,77.93
652,-10766782.0,49,75.32
653,-11645033.0,47,77.01
654,-12819029.0,56,79.35
655,-13023886.0,49,82.34
656,-14254493.0,55,84.71
657,-13285271.0,63,85.03
658,-12561853.0,55,82.48
659,-11834091.0,38,76.47
660,-9766658.0,57,65.92
661,-14108002.0,50,88.0
662,-12394907.0,58,80.11
663,-10377401.0,53,69.85
664,-11272807.0,51,76.07
665,-12630630.0,41,75.62
666,-11511450.0,49,69.73
667,-12626247.0,38,80.25
668,-12935910.0,52,82.45
669,-12766428.0,38,79.04
670,-10311785.0,46,66.69
671,-10945926.0,44,73.27
672,-9163623.0,47,69.99
673,-11754895.0,47,79.18
674,-11703562.0,50,79.56
675,-12300071.0,48,78.36
676,-10006032.0,43,73.55
677,-13999059.0,51,87.07
678,-12092088.0,50,77.96
679,-8422782.0,45,57.93
680,-13327023.0,40,80.86
681,-11587492.0,44,78.94
682,-13702241.0,43,83.07
683,-13562004.0,54,84.85
684,-14430162.0,48,93.39
685,-13442293.0,51,78.56
686,-10370500.0,51,70.3
687,-10858983.0,42,72.27
688,-11937712.0,50,81.35
689,-12940107.0,47,77.47
690,-13266951.0,42,80.39
691,-11890802.0,40,75.64
692,-12619920.0,44,79.53
693,-9535803.0,41,66.11
694,-12806782.0,55,81.7
695,-9399230.0,50,63.88
696,-11985126.0,44,80.35
697,-10178908.0,48,67.53
698,-10279743.0,39,76.51
699,-8202287.0,44,63.51
700,-10066205.0,46,68.77
701,-10596259.0,48,71.12
702,-10710169.0,60,70.66
703,-11074763.0,43,71.52
704,-12262684.0,49,75.44
705,-12826957.0,49,83.88
706,-12766345.0,54,82.48
707,-11443291.0,41,76.88
708,-12400867.0,37,79.75
709,-10164646.0,47,68.83
710,-12174797.0,40,79.04
711,-10858452.0,56,71.65
712,-12366899.0,55,77.8
713,-11600650.0,41,75.26
714,-12617062.0,45,75.4
715,-9483351.0,41,63.15
716,-11158577.0,50,74.63
717,-10279245.0,46,68.25
718,-12508042.0,35,74.54
719,-12243251.0,46,75.85
720,-12950062.0,51,82.06
721,-9485967.0,52,69.84
722,-9547575.0,40,64.3
723,-11380547.0,41,75.08
724,-12119486.0,43,80.92
725,-13173073.0,46,79.65
726,-9398444.0,43,67.09
727,-11631671.0,49,81.27
728,-14220991.0,52,83.71
729,-11317390.0,50,73.94
730,-12359635.0,45,80.72
731,-12156269.0,40,76.52
732,-13105462.0,47,84.28
733,-11623791.0,40,71.47
734,-13073321.0,33,81.9
735,-13387844.0,42,79.77
736,-9619425.0,45,66.75
737,-11409767.0,40,73.19
738,-11713114.0,54,77.33
739,-11215460.0,48,68.98
740,-12507251.0,29,79.11
741,-12716330.0,44,79.03
742,-14479724.0,47,86.77
743,-9989806.0,50,71.78
744,-13139178.0,37,86.88
745,-14278042.0,48,85.14
746,-10742289.0,47,72.27
747,-11352108.0,39,77.2
748,-12091127.0,53,78.93
749,-13383976.0,51,83.5
750,-11848429.0,39,74.91
751,-13317327.0,42,80.54
752,-11472831.0,48,77.79
753,-9179907.0,41,68.3
754,-12036747.0,39,80.08
755,-10808020.0,44,71.22
756,-12306594.0,53,82.65
757,-13220008.0,41,85.32
758,-14101720.0,45,85.99
759,-11093809.0,49,75.19
760,-10139951.0,52,71.96
761,-9424587.0,58,62.82
762,-10666680.0,47,71.99
763,-13781086.0,52,83.5
764,-10920041.0,39,72.8
765,-14535239.0,43,89.5
766,-10428277.0,51,71.68
767,-8189270.0,45,58.98
768,-8780848.0,44,59.41
769,-9476151.0,48,64.13
770,-11451284.0,40,75.68
771,-14973187.0,40,89.79
772,-9512900.0,55,65.12
773,-11838140.0,42,79.68
774,-10424847.0,49,69.12
775,-14316547.0,49,88.28
776,-11500287.0,49,75.63
777,-11588257.0,44,74.15
778,-12506562.0,54,82.6
779,-10489390.0,62,66.6
780,-11333316.0,53,76.37
781,-8790375.0,33,62.07
782,-11746330.0,48,70.33
783,-9623214.0,47,60.5
784,-11396057.0,48,74.38
785,-12364782.0,49,78.26
786,-10134366.0,55,62.94
787,-13401905.0,53,87.8
788,-9289211.0,39,66.24
789,-11627227.0,51,74.92
790,-10908155.0,40,67.27
791,-12547371.0,59,81.67
792,-10935858.0,56,75.89
793,-13527619.0,43,85.68
794,-11417057.0,45,73.22
795,-12211590.0,50,80.08
796,-10966300.0,53,72.82
797,-13103137.0,47,85.39
798,-8360271.0,59,63.03
799,-11819219.0,39,76.48
800,-11957453.0,47,77.33
801,-11821916.0,53,70.42
802,-11918086.0,46,76.55
803,-11427250.0,47,70.13
804,-10355340.0,49,70.9
805,-10146188.0,45,72.2
806,-13495184.0,37,83.95
807,-13969055.0,34,80.92
808,-10646403.0,42,72.24
809,-13210403.0,44,84.09
810,-12419260.0,35,80.01
811,-10341259.0,48,67.94
812,-13068227.0,44,78.2
813,-11615530.0,42,72.02
814,-12589327.0,42,79.84
815,-13567342.0,48,84.51
816,-9658517.0,51,66.97
817,-13855379.0,40,86.48
818,-11207292.0,42,73.97
819,-11419376.0,62,70.8
820,-12782169.0,38,76.05
821,-11936841.0,41,82.1
822,-10924408.0,40,74.45
823,-10700790.0,53,70.48
824,-8109294.0,43,58.44
825,-10967066.0,39,72.6
826,-12165288.0,47,77.65
827,-12235244.0,42,75.99
828,-13331487.0,42,85.72
829,-11889651.0,39,82.38
830,-11091163.0,46,76.4
831,-12558375.0,48,80.66
832,-11485585.0,41,74.49
833,-11865163.0,48,73.85
834,-10000251.0,48,63.78
835,-11522866.0,61,80.07
836,-12782711.0,42,78.43
837,-9291625.0,36,67.47
838,-13813219.0,39,87.01
839,-12646071.0,45,78.17
840,-12863963.0,53,85.43
841,-11533130.0,36,73.09
842,-11656356.0,43,74.56
843,-11332609.0,47,72.59
844,-12312166.0,51,84.91
845,-11196024.0,44,74.62
846,-13595449.0,49,86.99
847,-10204692.0,45,71.37
848,-10960315.0,50,77.98
849,-11114487.0,42,72.01
850,-12766344.0,46,76.26
851,-9240945.0,52,69.84
852,-13075451.0,47,85.07
853,-12341453.0,54,77.12
854,-11112159.0,56,71.33
855,-12003892.0,44,81.2
856,-11096047.0,58,78.14
857,-12102531.0,39,78.92
858,-11526717.0,53,75.72
859,-13898814.0,53,85.5
860,-10631971.0,51,67.65
861,-10573855.0,54,71.12
862,-9269190.0,57,64.84
863,-11741829.0,54,72.2
864,-12894374.0,45,79.83
865,-10787799.0,43,68.07
866,-12482314.0,42,84.67
867,-9545140.0,48,68.84
868,-11336326.0,47,75.78
869,-10033515.0,50,68.09
870,-10632152.0,41,70.84
871,-14402630.0,55,87.65
872,-10574971.0,43,76.66
873,-13959427.0,47,83.56
874,-12569137.0,39,82.51
875,-11559030.0,42,72.62
876,-13032555.0,38,84.22
877,-11578173.0,36,75.53
878,-12564102.0,50,77.2
879,-13675519.0,52,82.2
880,-11353467.0,48,80.81
881,-13103558.0,54,83.83
882,-9258263.0,52,65.47
883,-8721662.0,50,65.78
884,-11825899.0,49,76.97
885,-10104267.0,45,72.26
886,-12117827.0,42,77.27
887,-13063556.0,39,79.94
888,-12520101.0,44,82.11
889,-12688072.0,46,80.88
890,-12663555.0,41,83.06
891,-13376183.0,41,81.07
892,-12512524.0,46,77.27
893,-10629526.0,47,78.66
894,-11962105.0,46,76.58
895,-12173117.0,38,74.74
896,-12465916.0,48,82.07
897,-11585425.0,57,74.61
898,-11284503.0,44,75.72
899,-12630879.0,50,80.08
900,-14001572.0,52,85.32
901,-10725554.0,42,74.45
902,-13885787.0,54,85.61
903,-12361455.0,42,74.64
904,-11923300.0,56,70.58
905,-9099101.0,38,69.62
906,-13308395.0,55,85.51
907,-12872210.0,45,82.99
908,-11297461.0,49,67.82
909,-11877174.0,52,75.97
910,-16278504.0,55,94.68
911,-10228993.0,42,68.87
912,-12663674.0,47,81.83
913,-10515229.0,50,68.2
914,-10386010.0,40,73.14
915,-11747726.0,56,82.98
916,-11611307.0,48,74.38
917,-12140262.0,55,79.71
918,-10721957.0,47,68.65
919,-11250251.0,31,74.89
920,-10938457.0,34,67.03
921,-10979851.0,44,68.15
922,-11623798.0,49,71.06
923,-9865260.0,43,61.89
924,-12730196.0,43,77.41
925,-11114958.0,39,70.74
926,-13901366.0,48,78.42
927,-9870680.0,49,67.43
