Episode,Total Reward,Requests Served,Average Waiting
297,-5110556.0,92,58.48
298,-5254952.0,132,65.07
299,-9972801.0,86,75.41
300,-6491521.0,96,61.16
301,-7847558.0,88,67.87
302,-8497393.0,90,70.02
303,-6008253.0,114,58.88
304,-6900222.0,94,56.38
305,-6369724.0,110,60.93
306,-8245802.0,97,65.19
307,-6024749.0,83,52.11
308,-5907627.0,74,55.91
309,-6396295.0,148,64.43
310,-9392616.0,74,67.26
311,-6109476.0,118,55.63
312,-6186377.0,101,57.1
313,-8594901.0,106,63.14
314,-5812618.0,98,54.93
315,-8758021.0,88,74.94
316,-6814362.0,128,61.79
317,-5454753.0,89,52.87
318,-9585807.0,88,70.59
319,-8911468.0,79,67.99
320,-7391268.0,108,62.64
321,-9611015.0,82,69.39
322,-9643736.0,91,65.72
323,-5290486.0,124,56.13
324,-7704598.0,80,66.87
325,-8479500.0,118,68.34
326,-5629537.0,130,53.29
327,-11681113.0,96,81.68
328,-5708687.0,128,63.27
329,-4263989.0,102,55.39
330,-9913071.0,80,77.86
331,-7796274.0,81,71.03
332,-6442337.0,96,61.9
333,-10491429.0,84,70.34
334,-10404752.0,64,71.37
335,-8453920.0,78,60.56
336,-10491840.0,97,74.24
337,-8386243.0,102,62.63
338,-9187524.0,85,69.22
339,-8278150.0,83,65.98
340,-6666487.0,92,63.53
341,-6129785.0,80,62.74
342,-6421527.0,110,61.61
343,-7595570.0,94,64.42
344,-5621832.0,101,55.32
345,-5741927.0,82,60.65
346,-8004362.0,67,60.09
347,-8142695.0,84,66.29
348,-7732089.0,77,60.97
349,-6753333.0,78,56.14
350,-9781138.0,90,68.3
351,-9426741.0,88,70.06
352,-7644032.0,83,56.93
353,-11631952.0,80,82.69
354,-7858627.0,108,66.27
355,-7450248.0,94,63.3
356,-5605102.0,124,59.55
357,-8697857.0,106,72.68
358,-7350900.0,79,60.88
359,-10759682.0,78,76.39
360,-7684051.0,88,65.06
361,-8309144.0,98,61.29
362,-8016038.0,88,63.82
363,-5343483.0,98,51.79
364,-9422372.0,54,69.17
365,-7110341.0,90,56.75
366,-7766760.0,90,65.22
367,-11527705.0,69,71.01
368,-7367621.0,84,63.3
369,-7359537.0,94,61.89
370,-6838527.0,98,57.26
371,-8315172.0,94,73.5
372,-9916683.0,90,72.42
373,-7523693.0,84,60.93
374,-8836950.0,90,72.97
375,-3740079.0,100,53.35
376,-7804354.0,105,67.55
377,-6784580.0,68,59.22
378,-7292620.0,80,60.56
379,-9454139.0,80,67.18
380,-9889162.0,74,68.96
381,-7172874.0,112,57.59
382,-8831617.0,80,63.47
383,-5559466.0,84,52.62
384,-7934840.0,95,63.18
385,-6121997.0,96,54.64
386,-7160605.0,104,70.08
387,-9977541.0,72,80.76
388,-7672990.0,96,64.07
389,-8109425.0,70,61.46
390,-9390860.0,70,68.29
391,-6412768.0,102,61.49
392,-8801316.0,102,67.35
393,-9251463.0,101,63.81
394,-4937988.0,95,49.2
395,-12339492.0,88,77.12
396,-8008791.0,64,66.85
397,-6687434.0,82,59.18
398,-6448645.0,106,65.34
399,-9243758.0,71,68.21
400,-8154753.0,90,62.95
401,-9174996.0,84,67.01
402,-8607285.0,102,66.19
403,-8440142.0,82,63.7
404,-3879698.0,117,52.48
405,-6274700.0,111,54.55
406,-8362460.0,98,69.66
407,-8725257.0,114,76.74
408,-9968515.0,84,73.92
409,-6461717.0,104,59.93
410,-7485619.0,95,61.76
411,-7145315.0,78,62.37
412,-5433069.0,98,61.79
413,-7579080.0,134,60.91
414,-8073974.0,76,66.36
415,-5738655.0,80,55.65
416,-10314861.0,72,70.92
417,-10402861.0,78,72.2
418,-9432826.0,88,79.85
419,-5993087.0,86,59.88
420,-10172269.0,110,72.31
421,-9391343.0,90,74.68
422,-5037979.0,78,47.6
423,-8847119.0,80,65.43
424,-10482906.0,94,73.15
425,-9506035.0,72,74.28
426,-9644657.0,72,73.36
427,-7170776.0,100,63.04
428,-7337204.0,108,63.59
429,-11138891.0,72,75.38
430,-5192738.0,108,59.14
431,-8769265.0,94,68.84
432,-12630568.0,67,84.19
433,-6814078.0,76,67.1
434,-5695022.0,78,54.33
435,-7174613.0,80,64.49
436,-8134006.0,104,71.16
437,-7458578.0,82,62.31
438,-4781707.0,106,48.54
439,-6758958.0,97,63.12
440,-11509305.0,84,84.83
441,-5983050.0,82,56.05
442,-7017280.0,78,59.22
443,-5644504.0,75,52.12
444,-8858626.0,104,65.14
445,-6671595.0,98,60.18
446,-2899257.0,92,43.97
447,-4272500.0,102,52.23
448,-6111294.0,88,62.28
449,-8060291.0,87,65.66
450,-10484456.0,70,78.86
451,-8386602.0,116,72.26
452,-9453889.0,97,68.6
453,-8728817.0,79,70.63
454,-9731650.0,100,69.49
455,-9085479.0,78,69.51
456,-7872038.0,82,65.2
457,-6879851.0,84,62.94
458,-5128863.0,102,60.84
459,-6833998.0,70,64.62
460,-7448697.0,112,63.84
461,-7080635.0,90,64.4
462,-8038655.0,63,65.19
463,-9459275.0,69,75.29
464,-6591288.0,82,59.15
465,-5841086.0,105,61.68
466,-9910941.0,69,66.18
467,-10749412.0,64,73.69
468,-8020494.0,94,61.64
469,-10116563.0,72,74.76
470,-10243282.0,67,72.95
471,-3684751.0,90,54.08
472,-7726616.0,114,73.05
473,-8974867.0,70,56.79
474,-9721317.0,78,77.45
475,-9389187.0,74,68.12
476,-6545207.0,96,64.58
477,-5832167.0,105,51.87
478,-9866278.0,74,72.42
479,-12780820.0,59,90.75
480,-6182013.0,68,54.07
481,-9562493.0,65,68.85
482,-7427835.0,96,59.33
483,-5123887.0,86,53.1
484,-6703398.0,76,60.54
485,-7374609.0,98,62.11
486,-10056054.0,94,80.4
487,-9244861.0,62,65.09
488,-8388865.0,70,70.34
489,-3938479.0,118,48.77
490,-6283059.0,78,60.74
491,-9545512.0,92,67.32
492,-4064328.0,99,48.69
493,-4618939.0,114,58.76
494,-7374569.0,94,57.72
495,-7895631.0,104,65.29
496,-9781263.0,73,75.49
497,-7461795.0,70,60.78
498,-6673806.0,106,61.83
499,-8249270.0,85,64.79
500,-8388788.0,92,64.21
501,-8875582.0,76,65.91
502,-7132950.0,78,59.15
503,-6572360.0,67,56.71
504,-9069410.0,82,67.83
505,-6640421.0,88,60.44
506,-10851311.0,46,76.39
507,-6557447.0,72,62.19
508,-10192335.0,73,70.42
509,-9835083.0,66,68.47
510,-8506196.0,94,60.52
511,-7731661.0,110,68.11
512,-7872957.0,64,62.98
513,-9871191.0,87,72.29
514,-6688862.0,72,60.44
515,-8714333.0,102,68.96
516,-7098095.0,88,64.18
517,-7523732.0,68,59.97
518,-10851245.0,89,81.85
519,-8718982.0,82,68.79
520,-9210919.0,69,63.71
521,-7139674.0,87,59.68
522,-11289191.0,76,79.01
523,-8186549.0,62,58.9
524,-9340369.0,80,67.76
525,-9426999.0,71,75.56
526,-10891775.0,45,72.46
527,-5384265.0,82,49.92
528,-8431387.0,76,68.4
529,-7425249.0,55,64.87
530,-9950136.0,82,78.07
531,-10758536.0,91,77.8
532,-5992101.0,61,54.68
533,-6793955.0,86,62.54
534,-8750023.0,72,74.59
535,-9610935.0,80,66.93
536,-12837872.0,57,87.88
537,-8633889.0,85,68.69
538,-8524027.0,80,66.89
539,-5640459.0,84,53.84
540,-11374073.0,60,82.51
541,-7248584.0,76,61.45
542,-7695289.0,92,67.68
543,-11664284.0,60,81.76
544,-8712003.0,63,68.74
545,-11231335.0,46,79.77
546,-8370759.0,80,72.69
547,-11055512.0,74,78.86
548,-9784198.0,72,75.56
549,-9069372.0,70,69.0
550,-8639228.0,72,66.78
551,-13238616.0,69,93.15
552,-7064975.0,80,60.47
553,-7207011.0,72,59.52
554,-6067536.0,95,53.8
555,-7900279.0,69,67.6
556,-9403304.0,78,75.73
557,-5641703.0,96,60.58
558,-8281302.0,56,60.62
559,-9368192.0,58,71.17
560,-6212188.0,94,64.06
561,-8832352.0,84,66.02
562,-7413476.0,75,62.44
563,-7659433.0,73,69.6
564,-8509308.0,68,65.04
565,-5980784.0,66,59.94
566,-8932887.0,78,69.54
567,-8503007.0,82,60.24
568,-9277670.0,94,68.37
569,-8887069.0,69,72.52
570,-6729765.0,104,61.89
571,-8601293.0,84,68.89
572,-8885463.0,76,67.71
573,-7384693.0,84,62.97
574,-9051834.0,90,73.29
575,-6821260.0,98,62.77
576,-7077399.0,76,58.19
577,-8709422.0,80,65.83
578,-8486649.0,82,73.29
579,-9710517.0,56,70.77
580,-7402703.0,63,63.62
581,-6875596.0,108,64.28
582,-9731949.0,76,79.07
583,-9025064.0,80,71.51
584,-7925697.0,74,65.57
585,-9277877.0,72,71.59
586,-13212670.0,57,84.67
587,-7258991.0,72,65.68
588,-6939474.0,80,57.05
589,-9616827.0,54,71.06
590,-9671585.0,78,73.57
591,-13799710.0,62,83.48
592,-7102272.0,67,64.86
593,-5971231.0,70,56.03
594,-8486211.0,64,72.05
595,-8317619.0,75,69.78
596,-8161641.0,82,69.0
597,-8780294.0,76,67.93
598,-5957371.0,124,68.71
599,-7296451.0,74,60.09
600,-5313112.0,94,56.31
601,-11062570.0,86,72.56
602,-12092910.0,59,84.01
603,-11949692.0,68,74.9
604,-8085373.0,76,60.83
605,-9358134.0,85,70.56
606,-9160678.0,71,68.16
607,-6533964.0,84,59.81
608,-7986165.0,67,63.46
609,-15428528.0,66,88.31
610,-8806660.0,72,68.83
611,-11411792.0,60,72.77
612,-6876102.0,67,59.19
613,-6410109.0,102,56.67
614,-9657972.0,84,76.76
615,-7103749.0,96,68.17
616,-9486579.0,67,72.45
617,-8353092.0,84,68.28
618,-6765293.0,74,60.41
619,-9049627.0,80,74.25
620,-11319189.0,74,79.02
621,-9887500.0,65,70.87
622,-8402927.0,47,61.61
623,-3905415.0,81,45.96
624,-9816550.0,70,75.98
625,-7573553.0,80,64.8
626,-12010128.0,72,79.72
627,-8226120.0,88,69.47
628,-8637020.0,70,72.73
629,-13435700.0,72,85.75
630,-8557337.0,74,67.96
631,-9456320.0,74,72.38
632,-10479686.0,74,72.92
633,-6444591.0,96,66.5
634,-9597858.0,70,74.84
635,-5478628.0,80,53.82
636,-8137272.0,65,59.89
637,-7541420.0,74,65.96
638,-9294338.0,80,75.0
639,-10573773.0,56,70.06
640,-10339298.0,53,73.74
641,-6774978.0,61,58.05
642,-6445612.0,77,62.21
643,-7175154.0,78,60.24
644,-11510844.0,59,81.85
645,-6765560.0,74,58.95
646,-10759592.0,90,71.96
647,-7543273.0,46,69.44
648,-12132878.0,46,77.76
649,-7032908.0,76,64.4
650,-9497917.0,84,74.29
651,-10949795.0,50,76.53
652,-9008175.0,81,78.34
653,-6494180.0,70,59.34
654,-13384723.0,23,77.93
655,-8901950.0,56,75.91
656,-8883541.0,63,63.78
657,-9767355.0,78,82.9
658,-9084341.0,76,67.89
659,-9059744.0,74,72.9
660,-5703725.0,93,59.69
661,-9754663.0,75,78.45
662,-12959596.0,48,78.77
663,-9876584.0,67,76.08
664,-9365248.0,84,72.03
665,-8018971.0,91,60.8
666,-9865574.0,74,70.46
